age_group,year,a,s1,s2,t,deaths,population
0,2002,0,9,0,0,0,16
1,2002,1,9,0,0,1,50
5,2002,2,9,0,0,0,33
10,2002,3,9,0,0,0,37
15,2002,4,9,0,0,0,52
20,2002,5,9,0,0,0,35
25,2002,6,9,0,0,0,91
30,2002,7,9,0,0,0,117
35,2002,8,9,0,0,0,82
40,2002,9,9,0,0,0,58
45,2002,10,9,0,0,0,50
50,2002,11,9,0,0,0,45
55,2002,12,9,0,0,0,51
60,2002,13,9,0,0,0,21
65,2002,14,9,0,0,0,22
70,2002,15,9,0,0,0,2
75,2002,16,9,0,0,0,10
80,2002,17,9,0,0,0,4
85,2002,18,9,0,0,0,1
0,2003,0,9,0,1,0,13
1,2003,1,9,0,1,0,59
5,2003,2,9,0,1,0,38
10,2003,3,9,0,1,0,33
15,2003,4,9,0,1,0,58
20,2003,5,9,0,1,0,35
25,2003,6,9,0,1,0,90
30,2003,7,9,0,1,0,120
35,2003,8,9,0,1,0,73
40,2003,9,9,0,1,0,66
45,2003,10,9,0,1,0,51
50,2003,11,9,0,1,0,41
55,2003,12,9,0,1,0,49
60,2003,13,9,0,1,0,24
65,2003,14,9,0,1,0,19
70,2003,15,9,0,1,0,8
75,2003,16,9,0,1,0,9
80,2003,17,9,0,1,0,3
85,2003,18,9,0,1,0,2
0,2004,0,9,0,2,0,19
1,2004,1,9,0,2,0,49
5,2004,2,9,0,2,0,38
10,2004,3,9,0,2,0,28
15,2004,4,9,0,2,0,51
20,2004,5,9,0,2,0,42
25,2004,6,9,0,2,0,79
30,2004,7,9,0,2,0,113
35,2004,8,9,0,2,0,90
40,2004,9,9,0,2,0,63
45,2004,10,9,0,2,0,48
50,2004,11,9,0,2,0,38
55,2004,12,9,0,2,0,53
60,2004,13,9,0,2,0,23
65,2004,14,9,0,2,0,16
70,2004,15,9,0,2,0,6
75,2004,16,9,0,2,0,8
80,2004,17,9,0,2,0,2
85,2004,18,9,0,2,0,0
0,2005,0,9,0,3,0,12
1,2005,1,9,0,3,0,51
5,2005,2,9,0,3,1,35
10,2005,3,9,0,3,0,27
15,2005,4,9,0,3,0,49
20,2005,5,9,0,3,0,58
25,2005,6,9,0,3,0,66
30,2005,7,9,0,3,0,107
35,2005,8,9,0,3,0,115
40,2005,9,9,0,3,0,60
45,2005,10,9,0,3,0,50
50,2005,11,9,0,3,0,38
55,2005,12,9,0,3,0,52
60,2005,13,9,0,3,0,27
65,2005,14,9,0,3,0,21
70,2005,15,9,0,3,0,7
75,2005,16,9,0,3,0,9
80,2005,17,9,0,3,0,1
85,2005,18,9,0,3,0,3
0,2006,0,9,0,4,0,22
1,2006,1,9,0,4,0,48
5,2006,2,9,0,4,0,40
10,2006,3,9,0,4,0,24
15,2006,4,9,0,4,0,42
20,2006,5,9,0,4,0,62
25,2006,6,9,0,4,0,54
30,2006,7,9,0,4,0,100
35,2006,8,9,0,4,0,109
40,2006,9,9,0,4,0,65
45,2006,10,9,0,4,0,53
50,2006,11,9,0,4,0,34
55,2006,12,9,0,4,0,50
60,2006,13,9,0,4,0,25
65,2006,14,9,0,4,0,18
70,2006,15,9,0,4,0,5
75,2006,16,9,0,4,0,12
80,2006,17,9,0,4,0,1
85,2006,18,9,0,4,0,2
0,2007,0,9,0,5,0,15
1,2007,1,9,0,5,0,60
5,2007,2,9,0,5,0,36
10,2007,3,9,0,5,0,26
15,2007,4,9,0,5,0,36
20,2007,5,9,0,5,0,69
25,2007,6,9,0,5,0,58
30,2007,7,9,0,5,0,100
35,2007,8,9,0,5,0,110
40,2007,9,9,0,5,0,70
45,2007,10,9,0,5,0,57
50,2007,11,9,0,5,0,33
55,2007,12,9,0,5,0,46
60,2007,13,9,0,5,0,34
65,2007,14,9,0,5,0,18
70,2007,15,9,0,5,0,4
75,2007,16,9,0,5,0,11
80,2007,17,9,0,5,0,3
85,2007,18,9,0,5,0,3
0,2008,0,9,0,6,0,12
1,2008,1,9,0,6,0,55
5,2008,2,9,0,6,0,45
10,2008,3,9,0,6,0,29
15,2008,4,9,0,6,0,36
20,2008,5,9,0,6,1,64
25,2008,6,9,0,6,0,73
30,2008,7,9,0,6,0,88
35,2008,8,9,0,6,0,94
40,2008,9,9,0,6,0,66
45,2008,10,9,0,6,0,56
